SmokeDensity,Temperature,WindSpeed,NO2_ppm,CO_ppm,SO2_ppm,Humidity,TimeOfDay,DayOfWeek,Distance_m,BlackCarbonRatio,SourceType,PM25
35.2,29.0,9.9,88.1,21.1,7.2,30.1,8,5,35.8,0.256,Vehicle,146.7
92.8,41.6,3.9,88.8,13.5,68.2,47.4,14,4,146.6,0.41,Factory,182.2
58.3,39.3,6.0,113.5,23.1,5.6,45.3,17,2,17.8,0.279,Vehicle,210.6
81.4,40.8,1.4,60.9,13.7,48.7,29.9,12,1,253.8,0.416,Factory,185.7
84.2,43.3,5.4,80.7,9.4,61.5,52.0,18,5,169.9,0.39,Factory,152.4
27.4,29.0,9.0,88.1,27.5,4.5,62.6,7,1,23.7,0.252,Vehicle,143.5
37.0,30.4,7.5,89.9,26.0,4.5,58.6,18,2,19.6,0.302,Vehicle,153.7
87.9,38.4,2.8,90.8,10.8,57.3,52.7,12,4,212.3,0.363,Factory,162.4
86.8,45.4,0.6,51.6,12.0,67.7,42.5,12,1,198.6,0.387,Factory,192.5
31.9,25.8,8.0,109.0,18.1,10.3,56.0,17,2,21.7,0.275,Vehicle,162.9
87.7,41.5,3.4,63.4,10.1,56.3,47.8,10,5,141.9,0.41,Factory,163.3
85.2,51.1,0.5,28.6,40.4,17.1,39.7,5,5,64.7,0.674,Garbage Burning,219.9
37.2,28.8,7.5,96.9,23.0,5.4,54.0,8,4,11.9,0.24,Vehicle,148.1
81.0,35.2,5.3,78.3,9.5,57.2,42.6,15,2,144.3,0.444,Factory,155.4
41.8,22.1,9.6,85.3,18.7,9.8,59.4,18,4,30.8,0.265,Vehicle,135.6
36.4,27.4,8.4,103.9,18.9,7.0,46.0,19,4,31.3,0.262,Vehicle,168.5
41.1,29.0,6.9,101.1,27.3,2.6,60.4,18,1,15.1,0.248,Vehicle,165.7
82.0,36.3,2.8,74.6,12.5,59.6,45.3,19,5,250.6,0.379,Factory,169.3
84.9,45.5,2.5,48.1,41.4,18.0,30.1,7,4,43.2,0.7,Garbage Burning,213.6
54.8,32.7,5.2,104.4,20.4,7.7,62.8,17,1,14.9,0.28,Vehicle,187.9
36.9,30.3,7.7,70.3,12.6,11.1,42.6,19,4,42.5,0.292,Vehicle,115.6
44.9,29.6,8.8,99.3,19.9,10.3,61.8,9,5,34.2,0.291,Vehicle,149.0
85.0,37.2,3.3,30.4,40.0,17.6,31.7,7,4,10.0,0.807,Garbage Burning,216.8
56.8,28.0,8.8,91.1,28.3,7.5,65.4,19,3,31.0,0.2,Vehicle,157.6
85.4,40.5,3.2,80.3,6.4,47.1,45.5,17,3,202.0,0.481,Factory,163.5
42.1,25.7,8.6,117.1,30.5,11.6,61.3,19,3,23.4,0.348,Vehicle,196.1
48.6,29.1,6.9,85.1,23.3,11.3,36.4,8,5,38.2,0.162,Vehicle,160.8
80.9,42.4,2.8,21.5,40.6,15.1,37.4,7,6,40.9,0.721,Garbage Burning,201.5
82.9,34.7,4.1,75.8,9.2,73.0,31.0,14,1,114.1,0.436,Factory,184.0
61.7,31.5,10.4,98.3,24.2,11.4,53.0,7,2,29.5,0.303,Vehicle,151.9
37.4,29.3,3.5,86.5,19.3,4.3,41.3,19,1,36.6,0.211,Vehicle,183.5
36.5,23.4,9.6,80.0,22.0,5.1,63.6,8,4,20.9,0.247,Vehicle,134.3
54.3,27.9,6.9,113.2,24.2,3.3,61.0,7,2,21.3,0.213,Vehicle,178.0
70.3,50.3,5.8,26.4,36.6,15.6,47.4,18,3,49.0,0.639,Garbage Burning,151.4
88.2,38.3,4.5,81.3,10.4,50.0,41.0,16,1,178.4,0.425,Factory,161.9
32.6,26.7,8.7,91.0,15.2,8.3,70.6,8,2,25.1,0.351,Vehicle,135.8
46.9,29.7,7.2,102.5,18.9,12.5,54.4,8,3,23.7,0.386,Vehicle,182.0
86.8,32.9,3.0,53.3,13.6,60.9,35.9,12,3,184.6,0.438,Factory,165.9
83.0,48.9,1.6,27.6,50.7,14.8,37.8,6,6,65.0,0.738,Garbage Burning,233.0
79.0,41.0,2.3,92.8,11.9,67.4,42.4,16,5,201.7,0.495,Factory,191.8
36.5,31.6,8.0,102.4,25.5,10.5,66.2,18,3,29.7,0.319,Vehicle,155.4
83.4,41.3,5.1,67.2,11.5,52.4,43.6,14,2,227.5,0.433,Factory,140.1
45.1,26.7,5.6,99.6,23.9,4.9,54.9,18,1,21.2,0.322,Vehicle,179.2
82.6,45.7,3.9,30.5,39.3,10.9,42.4,6,0,44.6,0.62,Garbage Burning,178.9
79.7,35.6,2.4,55.4,7.9,72.4,37.8,8,2,194.2,0.372,Factory,176.5
83.5,41.6,3.8,49.9,7.8,64.0,36.0,19,4,241.5,0.283,Factory,146.7
87.5,41.5,3.1,63.2,9.2,47.2,57.6,11,1,223.5,0.484,Factory,163.7
82.7,43.4,2.2,63.7,9.1,63.4,49.4,13,3,147.7,0.462,Factory,171.1
52.1,32.3,9.5,118.3,28.5,5.8,57.3,8,5,11.2,0.316,Vehicle,179.4
85.3,36.5,3.0,55.3,10.4,52.9,42.8,11,1,240.8,0.451,Factory,168.3
84.8,37.0,2.3,72.2,11.6,58.2,41.7,18,2,196.3,0.371,Factory,166.2
78.7,44.6,0.8,26.3,36.5,11.1,35.9,17,3,11.7,0.667,Garbage Burning,208.8
85.3,39.9,3.3,82.9,13.6,68.6,39.7,15,5,247.3,0.31,Factory,179.1
43.6,34.0,9.0,91.0,25.1,9.1,41.1,9,5,36.5,0.208,Vehicle,156.4
76.4,37.5,3.9,35.8,37.0,15.9,24.7,5,2,29.0,0.62,Garbage Burning,183.2
89.7,33.4,5.8,74.5,10.9,72.8,47.8,16,2,199.1,0.376,Factory,158.1
87.6,42.9,2.8,45.0,14.6,45.3,43.8,17,1,177.1,0.442,Factory,150.0
80.5,38.3,3.5,77.0,9.7,52.9,57.2,11,3,220.8,0.471,Factory,154.4
79.7,41.5,3.6,60.0,39.0,15.5,51.7,19,3,32.1,0.571,Garbage Burning,180.2
85.5,35.4,4.1,74.4,9.4,63.2,52.0,13,5,146.3,0.434,Factory,159.7
22.0,37.9,8.8,88.7,13.2,6.6,69.7,17,5,19.0,0.305,Vehicle,136.3
78.9,46.6,1.2,44.9,27.7,16.3,50.9,19,0,68.5,0.833,Garbage Burning,190.5
84.6,50.1,2.8,32.6,44.2,14.2,45.5,19,2,39.5,0.724,Garbage Burning,213.3
51.4,27.2,10.6,96.5,11.1,8.3,48.5,18,3,23.3,0.251,Vehicle,136.1
75.1,38.0,1.3,79.7,11.1,75.3,41.5,12,4,218.2,0.506,Factory,198.5
86.0,36.2,3.7,68.2,7.5,74.1,56.0,19,3,164.5,0.36,Factory,160.7
48.5,22.2,9.8,94.0,17.6,4.7,49.1,8,4,26.8,0.279,Vehicle,153.9
82.7,41.9,6.3,47.3,11.5,53.9,52.6,8,1,250.5,0.391,Factory,135.2
76.9,41.0,2.7,25.8,38.4,11.4,52.7,18,4,55.3,0.678,Garbage Burning,194.1
37.9,23.1,11.5,104.4,26.6,10.7,67.2,7,1,27.5,0.33,Vehicle,137.2
50.9,30.4,8.2,89.2,19.0,7.7,61.5,18,2,27.4,0.275,Vehicle,153.7
55.6,27.6,10.3,82.0,19.8,12.5,77.8,8,3,35.7,0.258,Vehicle,123.9
78.1,48.7,3.7,29.0,44.4,20.2,51.5,5,6,32.0,0.75,Garbage Burning,194.3
84.5,48.9,2.8,32.6,30.3,20.5,33.1,19,3,47.5,0.707,Garbage Burning,196.1
81.8,39.5,3.7,33.1,45.4,18.3,46.7,7,4,68.1,0.776,Garbage Burning,205.9
86.5,43.5,1.8,18.0,36.7,23.8,39.8,18,6,61.9,0.643,Garbage Burning,199.2
72.3,45.8,2.1,28.1,43.5,20.7,49.1,20,0,81.2,0.692,Garbage Burning,210.6
81.8,40.9,2.1,61.9,6.7,51.5,37.2,13,3,228.7,0.356,Factory,165.3
49.0,26.2,5.9,93.3,21.3,6.2,37.9,17,1,24.1,0.451,Vehicle,181.5
42.8,23.2,8.2,72.5,20.7,4.6,47.0,8,1,37.6,0.317,Vehicle,136.7
86.5,39.3,2.0,69.3,11.2,58.0,38.1,16,4,201.5,0.438,Factory,185.1
92.4,44.3,3.5,75.4,11.5,60.0,55.5,12,1,243.0,0.406,Factory,160.5
45.6,26.2,6.3,110.0,11.5,7.8,54.2,17,3,33.6,0.31,Vehicle,185.0
91.7,44.8,3.1,35.3,37.7,20.8,43.4,19,2,57.6,0.819,Garbage Burning,217.3
78.1,48.5,4.4,27.8,31.4,14.0,35.7,7,0,42.8,0.578,Garbage Burning,161.0
85.5,42.8,2.6,80.3,8.6,66.6,52.2,15,1,139.4,0.369,Factory,163.4
82.8,54.8,2.8,26.4,33.6,16.3,36.3,8,1,63.6,0.678,Garbage Burning,176.7
37.6,29.6,7.8,88.3,21.3,5.7,54.3,18,4,23.9,0.261,Vehicle,150.6
86.8,52.9,1.4,41.6,38.7,19.2,38.8,20,4,42.4,0.821,Garbage Burning,227.3
76.9,48.1,4.0,19.0,35.5,10.6,37.3,20,5,40.7,0.647,Garbage Burning,158.3
39.1,30.7,5.5,87.2,21.5,7.2,48.8,8,4,11.9,0.289,Vehicle,165.9
37.5,25.7,6.3,74.7,28.7,12.9,61.4,19,3,27.2,0.395,Vehicle,142.8
43.2,30.6,6.0,87.7,19.9,7.1,56.0,9,3,27.3,0.291,Vehicle,159.0
87.7,42.8,2.9,34.5,46.7,16.8,52.0,20,5,54.8,0.679,Garbage Burning,214.6
57.8,33.7,11.0,105.2,22.3,9.6,54.2,8,5,33.0,0.27,Vehicle,148.7
35.7,33.3,10.1,82.7,28.8,7.8,46.5,17,4,33.1,0.318,Vehicle,138.4
89.6,45.4,4.8,73.8,8.7,62.9,42.7,15,3,215.8,0.408,Factory,162.3
89.1,38.7,2.8,69.8,13.5,58.4,48.3,16,3,149.2,0.535,Factory,186.5
46.9,31.6,5.2,100.7,22.7,10.8,52.9,7,2,31.6,0.27,Vehicle,188.7
82.2,36.4,0.9,62.9,14.2,61.9,46.4,17,4,229.0,0.355,Factory,176.8
83.8,44.9,2.2,52.5,39.8,15.0,32.3,6,3,44.9,0.705,Garbage Burning,223.5
38.7,33.0,8.6,93.2,18.6,4.3,60.3,7,5,37.5,0.376,Vehicle,147.8
77.9,41.1,5.2,62.2,12.2,53.8,46.4,13,2,253.8,0.473,Factory,156.4
88.0,44.9,3.5,24.7,35.2,18.7,39.9,6,3,68.5,0.773,Garbage Burning,198.3
49.9,23.4,7.7,90.4,23.8,2.4,59.2,8,1,26.5,0.287,Vehicle,146.0
80.8,41.1,4.4,75.4,11.8,62.7,48.5,13,5,169.5,0.411,Factory,165.8
82.5,40.2,1.2,29.4,32.0,14.8,55.6,19,0,75.1,0.706,Garbage Burning,181.7
69.8,44.0,1.6,34.7,32.0,13.9,33.8,20,4,80.7,0.608,Garbage Burning,183.1
78.8,44.1,2.4,33.0,31.6,15.4,52.7,7,4,31.3,0.859,Garbage Burning,180.8
